127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5Bchunk_0%5D=dashicons,admin-bar,site-health,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-poi&load%5Bchunk_1%5D=nter,widgets,site-icon,l10n,buttons,wp-auth-check&ver=6.4.3 HTTP/1.0" 200 395903
127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-admin/js/common.min.js?ver=6.4.3 HTTP/1.0" 200 22086
127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-includes/js/admin-bar.min.js?ver=6.4.3 HTTP/1.0" 200 3536
127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-includes/js/hoverintent-js.min.js?ver=2.2.1 HTTP/1.0" 200 1718
127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-includes/js/dist/dom-ready.min.js?ver=392bdd43726760d1f3ca HTTP/1.0" 200 498
127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-includes/js/clipboard.min.js?ver=2.0.11 HTTP/1.0" 200 9009
127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-includes/js/dist/a11y.min.js?ver=7032343a947cfccf5608 HTTP/1.0" 200 2448
127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-includes/js/dist/url.min.js?ver=b4979979018b684be209 HTTP/1.0" 200 9629
127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-admin/js/site-health.min.js?ver=6.4.3 HTTP/1.0" 200 6301
127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-includes/js/api-request.min.js?ver=6.4.3 HTTP/1.0" 200 1023
127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-includes/js/wp-ajax-response.min.js?ver=6.4.3 HTTP/1.0" 200 2440
127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-includes/js/jquery/jquery.color.min.js?ver=2.2.0 HTTP/1.0" 200 7047
127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-includes/js/quicktags.min.js?ver=6.4.3 HTTP/1.0" 200 11132
127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-includes/js/wp-lists.min.js?ver=6.4.3 HTTP/1.0" 200 7521
127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-includes/js/jquery/jquery.query.js?ver=2.2.3 HTTP/1.0" 200 3694
127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-admin/js/edit-comments.min.js?ver=6.4.3 HTTP/1.0" 200 15349
127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-admin/load-scripts.php?c=0&load%5Bchunk_0%5D=jquery-core,jquery-migrate,utils&ver=6.4.3 HTTP/1.0" 200 102997
127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-includes/js/jquery/ui/core.min.js?ver=1.13.2 HTTP/1.0" 200 21438
127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-includes/js/jquery/ui/mouse.min.js?ver=1.13.2 HTTP/1.0" 200 3402
127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-admin/load-scripts.php?c=0&load%5Bchunk_0%5D=hoverIntent,wp-polyfill-inert,regenerator-runtime,wp-polyfill,wp-hooks&ver=6.4.3 HTTP/1.0" 200 136054
127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-admin/js/postbox.min.js?ver=6.4.3 HTTP/1.0" 200 6705
127.0.0.1 - - [16/Mar/2024:17:03:03 +0100] "GET /wp-includes/js/dist/vendor/moment.min.js?ver=2.29.4 HTTP/1.0" 200 57925
